Matric Marks,FSc Marks, University Name ,GPA
946,875, PUCIT ,3.57
941,863, FAST ,2.5
925,882, FAST ,3.61
932,891, FAST ,3.39
815,789, FAST ,2.5
835,810, FAST ,2.63
931,929, UOL ,3.3
975,859, UOL ,2.58
864,726, UOL ,3.56
854,697, UOL ,3
860,888, UOL ,3.16
941,863, UOL ,2.5
862,861, UOL ,2.81
930,749, UOL ,2.7
811,753, UOL ,3.05
860,842, UOL ,2.89
954,785, UOL ,1.41
921,900, UOL ,2.4
894,761, PUCIT ,2.53
960,859, PUCIT ,3.66
826,721, PUCIT ,2.89
805,864, PUCIT ,3.5
917,792, PUCIT ,2.72
880,865, PUCIT ,3.78
934,850, PUCIT ,3.2
845,854, PUCIT ,3.25
864,880, PUCIT ,2.34
1007,825, PUCIT ,3.26
1060,1024, PUCIT ,3.6
925,756, PUCIT ,2.12
1095,1095, PUCIT ,4
841,751, PUCIT ,2.64
882,703, PUCIT ,3.3
771,930, PUCIT ,3.76
787,707, PUCIT ,3.07
787,707, COMSATS ,3.07
998,858, COMSATS ,3.27
928,865, COMSATS ,3.96
788,805, COMSATS ,3.11
911,770, COMSATS ,2.88
932,662, COMSATS ,3.1
904,847, COMSATS ,2.98
934,994, COMSATS ,3.38
1015,783, COMSATS ,3.28
852,789, COMSATS ,3.59
749,729, COMSATS ,2.98
704,800, COMSATS ,3.38
633,622, COMSATS ,3.3
792,720, COMSATS ,3.22
924,898, COMSATS ,3.3
650,747, COMSATS ,2.7
761,663, COMSATS ,1.89
738,659, COMSATS ,1.6
818,832, COMSATS ,3.8
654,833, COMSATS ,3.34
959,859, COMSATS ,2.55
1011,890, COMSATS ,3.23
724,643, COMSATS ,3.3
786,795, COMSATS ,3.48
949,852, COMSATS ,3.24
900,700, COMSATS ,2.6
864,770, COMSATS ,3.33
610,620, COMSATS ,3.13
784,709, COMSATS ,2.97
830,900, COMSATS ,3.05
896,669, COMSATS ,3.18
890,786, COMSATS ,3.2
844,794, COMSATS ,2.7
741,710, COMSATS ,2.97
988,813, COMSATS ,3.05
988,813, COMSATS ,3.05
815,812, COMSATS ,3
916,741, COMSATS ,2.73
924,808, COMSATS ,3.12
945,840, COMSATS ,2.81
801,845, COMSATS ,2.73
868,644, COMSATS ,3.11
700,712, COMSATS ,2.66
924,861, COMSATS ,3.7
955,852, COMSATS ,2.7
988,837, COMSATS ,2.23
864,770, FAST ,3.33
980,804, FAST ,3.4
978,851, FAST ,3.12
1095,1095, FAST ,4
941,859, FAST ,2.73
887,881, FAST ,2.66
871,830, COMSATS ,2.92
852,783, COMSATS ,3.07
808,801, COMSATS ,3.36
840,806, COMSATS ,3.77
824,720, COMSATS ,2.98
902,789, COMSATS ,3.16
926,791, COMSATS ,3.23
770,658, COMSATS ,2.97
690,626, COMSATS ,2.72
729,713, COMSATS ,3.26
781,597, COMSATS ,3.3
591,692, COMSATS ,2.73
806,844, COMSATS ,3.43
818,720, COMSATS ,3.21
828,748, COMSATS ,2.84
770,698, PUCIT ,2.64
594,715, PUCIT ,3.47
871,789, PUCIT ,3.35
785,718, PUCIT ,3.29
854,752, PUCIT ,3.54
859,673, PUCIT ,2.95
790,769, PUCIT ,3.13
800,665, PUCIT ,2.96
906,764, PUCIT ,3
693,690, PUCIT ,3.07
745,667, PUCIT ,3.33
717,720, PUCIT ,3.26
696,725, PUCIT ,2.45
697,729, PUCIT ,3.34
867,735, PUCIT ,3.05
831,723, PUCIT ,2.94
732,761, PUCIT ,3.38
802,686, PUCIT ,3.38
715,688, PUCIT ,2.75
745,642, FAST ,2.81
758,851, FAST ,3.57
764,735, FAST ,3.12
822,674, FAST ,2.9
855,839, FAST ,3.58
886,821, FAST ,3.56
538,615, FAST ,2.96
954,866, FAST ,3.59
764,677, FAST ,2.3
893,721, FAST ,2.87
749,723, FAST ,2.87
798,764, FAST ,3.45
729,779, FAST ,2.84
714,700, FAST ,3.2
822,683, FAST ,3.36
855,711, FAST ,2.95
803,761, FAST ,3.07
718,688, FAST ,2.73
679,702, FAST ,3.26
850,833, FAST ,3.31
622,720, FAST ,3.11
803,650, FAST ,3.35
734,800, FAST ,2.96
725,792, FAST ,3.26
611,685, FAST ,2.55
692,617, FAST ,1.33
693,712, UOL ,3.31
641,740, UOL ,3.01
734,706, UOL ,3.48
700,775, UOL ,2.81
756,761, UOL ,3.53
739,685, UOL ,2.6
764,608, UOL ,2.89
794,694, UOL ,2.86
846,766, UOL ,3.56
632,702, UOL ,2.25
858,582, UOL ,2.63
852,632, UOL ,3.26
526,630, UOL ,2.55
811,586, UOL ,2.4
748,674, UOL ,2.46
688,624, UOL ,2.81
849,810, UOL ,3.4
881,802, UOL ,3.56
660,552, UOL ,2.88
758,714, UOL ,2.83
850,768, UOL ,2.85
578,648, UOL ,2.71
905,762, UOL ,2.88
806,684, UOL ,2.63
686,798, UOL ,2.63
784,676, UOL ,2.88
729,716, UOL ,3.01
826,750, UOL ,2.6
622,616, UOL ,2.41
744,610, UOL ,2.88
895,646, UOL ,2.83
662,676, UOL ,3.08
743,756, UOL ,2.88
814,764, UOL ,2.85
686,548, UOL ,2.68
796,598, UOL ,2.53
783,650, UOL ,2.93
817,668, UOL ,2.98
803,650, UOL ,3.35
734,800, UOL ,2.96
725,792, UOL ,3.26
1067,1023, UOG ,2.9
883,894, GCUF ,3.54
878,1068, GCUF ,3.52
835,780, UOG ,3.66
697,830, UOS ,2.3
729,721, UOS ,1.93
893,718, UOS ,3.88
1020,974, UOL ,1.8
1003,884, NTU ,3.06
1040,803, NTU ,2.49
908,865, NTU ,3.82
1070,908, NTU ,2.57
805,990, GCU ,2.84
1058,875, GCU ,3.72
691,863, UOE ,3.33
854,1069, USA ,2.73
1076,669, USA ,3.29
900,905, USA ,3.71
685,1090, UOL ,3.49
909,871, UOL ,2.45
1038,734, UOL ,3.52
1055,1076, UOL ,3.52
833,769, UOL ,3.03
1081,920, UOL ,3.78
734,791, UOL ,2.69
813,972, UOL ,2.66
829,854, UOL ,3.34
1087,763, UOL ,1.79
1077,786, UOL ,2.37
714,685, UOL ,2.46
681,1037, UOL ,3.74
715,814, UOL ,3.69
874,921, UOL ,3.14
772,960, UOL ,2.9
1079,1054, UOL ,1.95
958,818, UOL ,1.94
1017,833, UOL ,3.3
977,1085, UOG ,2.84
875,700, GCUF ,2.32
872,660, GCUF ,2.05
767,1097, UOG ,3.7
718,910, UOS ,4
1080,987, UOS ,3.13
1046,1043, UOS ,2.93
1094,1094, UOL ,3.33
943,1075, NTU ,2.45
1100,968, NTU ,2.77
779,1052, NTU ,2.75
756,953, NTU ,3.42
740,969, GCU ,1.84
904,1051, GCU ,1.7
1086,928, UOE ,2.53
709,709, USA ,2.65
765,819, USA ,3.49
858,1072, USA ,1.92
922,931, COMSATS ,3.45
903,1083, COMSATS ,2.81
876,995, COMSATS ,3.53
1019,810, COMSATS ,2.93
1099,947, COMSATS ,3.76
818,1058, COMSATS ,3.14
693,963, COMSATS ,3.94
993,918, COMSATS ,2.21
981,804, COMSATS ,2.22
725,683, COMSATS ,3.38
944,1077, COMSATS ,2.98
741,744, COMSATS ,3.2
800,675, COMSATS ,2.88
696,725, COMSATS ,3.47
934,749, COMSATS ,3.79
1032,842, COMSATS ,2.81
737,1038, COMSATS ,3.86
861,868, COMSATS ,2.86
881,674, COMSATS ,3.81
921,988, COMSATS ,3.26
1036,1047, COMSATS ,2.27
750,970, COMSATS ,3.05
736,698, COMSATS ,2.67
679,855, COMSATS ,1.93
927,1061, COMSATS ,3.41
674,1060, COMSATS ,3.4
817,696, COMSATS ,3.64
912,879, COMSATS ,2.66
726,925, UOL ,3.41
671,813, UOL ,3.47
945,793, UOL ,2.07
1049,1100, UOL ,3.44
683,897, UOL ,2
923,693, UOL ,2.31
763,870, UOL ,2.3
1011,1086, UOL ,2.9
742,932, UOL ,3.08
824,978, UOL ,3.12
987,826, UOL ,3.39
1063,851, UOL ,3.39
1054,898, UOL ,2.84
976,703, UOL ,3.28
982,728, UOL ,1.87
758,712, COMSATS ,2.81
721,782, COMSATS ,2.49
796,820, COMSATS ,1.72
702,807, COMSATS ,3.8
942,866, COMSATS ,3.19
862,872, COMSATS ,3.16
826,1064, COMSATS ,3.7
941,994, COMSATS ,2.78
731,1079, COMSATS ,2.05
882,984, COMSATS ,2.4
1026,812, COMSATS ,3.56
956,950, COMSATS ,2.83
906,967, COMSATS ,1.75
1004,1035, COMSATS ,2.25
867,661, COMSATS ,2.54
838,731, COMSATS ,2.87
850,861, COMSATS ,2.49
1061,965, COMSATS ,2.94
791,955, COMSATS ,2.55
830,1014, COMSATS ,2.49
879,801, PUCIT ,2.52
869,697, PUCIT ,2.21
969,909, PUCIT ,1.96
695,761, PUCIT ,3.04
764,764, PUCIT ,3.43
768,823, PUCIT ,3.89
1027,765, PUCIT ,2.24
897,944, PUCIT ,1.87
950,943, PUCIT ,3.99
919,1009, PUCIT ,1.87
952,805, PUCIT ,1.72
819,919, FAST ,3.5
1071,794, FAST ,2.52
670,954, FAST ,3.7
761,1002, FAST ,1.74
1084,774, FAST ,3.3
885,853, UOL ,3.23
954,768, UOL ,2.78
1013,975, UOL ,3.13
812,1041, UOL ,2.09
886,924, UOL ,2.69
739,939, UOL ,3.04
920,717, UOL ,2.05
1009,1001, UOL ,2
777,1073, UOL ,2.07
687,911, UOL ,3.6
753,927, UOL ,3.77
828,843, UOL ,2.98
980,796, PUCIT ,3.46
810,1008, PUCIT ,3.51
974,771, PUCIT ,1.85
675,827, PUCIT ,2.65
1012,996, PUCIT ,3.44
676,1046, PUCIT ,3.15
953,841, PUCIT ,3.34
792,699, PUCIT ,2.32
973,705, PUCIT ,2.17
917,845, PUCIT ,2.85
707,934, PUCIT ,2.08
727,1042, PUCIT ,3.71
698,747, PUCIT ,3.98
806,878, PUCIT ,3.07
844,672, PUCIT ,2.97
712,775, PUCIT ,2.99
780,1088, PUCIT ,2.95
834,864, COMSATS ,3.2
998,1081, COMSATS ,3.71
722,802, COMSATS ,3.06
809,986, COMSATS ,3.83
660,704, COMSATS ,1.87
786,777, COMSATS ,3.1
752,1045, COMSATS ,2.96
892,1082, COMSATS ,3.17
902,726, COMSATS ,2.51
894,1053, COMSATS ,2.46
1005,885, COMSATS ,1.75
717,959, COMSATS ,3.65
972,916, COMSATS ,3.25
686,896, COMSATS ,3.67
947,751, COMSATS ,1.92
1093,952, COMSATS ,1.95
751,1012, COMSATS ,2.02
866,722, COMSATS ,3.67
1025,1070, COMSATS ,3.72
1041,1066, COMSATS ,3.33
816,949, COMSATS ,3.19
673,1056, COMSATS ,2.98
688,757, COMSATS ,2.52
1037,800, COMSATS ,2.42
827,753, COMSATS ,3.84
855,702, COMSATS ,3.29
864,719, COMSATS ,2.19
766,1011, COMSATS ,2.62
782,748, COMSATS ,3.75
1068,737, COMSATS ,3.72
967,964, COMSATS ,2.24
661,880, COMSATS ,3.11
1007,678, COMSATS ,3.73
905,1031, COMSATS ,3.28
840,785, COMSATS ,2.09
845,1003, COMSATS ,2.03
1034,824, COMSATS ,3.5
801,957, COMSATS ,3.47
1066,961, COMSATS ,3.76
1006,857, COMSATS ,2.9
984,783, COMSATS ,3.54
856,790, COMSATS ,2.44
692,933, COMSATS ,2.16
1091,890, COMSATS ,3.79
774,738, COMSATS ,1.95
678,832, COMSATS ,2.02
935,1048, FAST ,2.12
955,1025, FAST ,1.99
700,893, FAST ,3.71
1029,945, FAST ,3.88
690,766, FAST ,2.89
787,923, FAST ,3.28
724,736, COMSATS ,2.91
706,840, COMSATS ,1.71
938,773, COMSATS ,2.29
711,1007, COMSATS ,2.11
1028,913, COMSATS ,3.66
710,1029, COMSATS ,1.82
680,1034, COMSATS ,2.22
825,849, COMSATS ,3.82
896,1092, COMSATS ,3.16
988,739, COMSATS ,2.58
769,887, COMSATS ,3.22
843,760, COMSATS ,3.83
964,684, COMSATS ,2.01
1016,673, COMSATS ,2.81
979,948, COMSATS ,3.33
770,825, PUCIT ,3.77
705,993, PUCIT ,2.53
1059,1063, PUCIT ,3.75
889,846, PUCIT ,2.92
916,711, PUCIT ,1.83
760,991, PUCIT ,2.42
925,778, PUCIT ,2.21
1050,847, PUCIT ,2.03
1015,662, PUCIT ,3.47
949,781, PUCIT ,2
853,776, PUCIT ,2.34
1045,992, PUCIT ,2.3
784,682, PUCIT ,1.93
704,1055, PUCIT ,1.86
1035,679, PUCIT ,2.86
911,1084, PUCIT ,3.77
1018,1093, PUCIT ,2.08
730,1091, PUCIT ,2.3
720,1032, PUCIT ,2.74
703,716, FAST ,3.08
880,779, FAST ,3.97
951,895, FAST ,2.72
1082,1026, FAST ,1.79
1033,1033, FAST ,3.72
836,756, FAST ,3.12
785,907, FAST ,3.09
1065,750, FAST ,3.39
719,877, FAST ,1.82
1042,922, FAST ,3.95
936,1039, FAST ,1.71
694,982, FAST ,1.79
747,1006, FAST ,2.33
788,1067, FAST ,3
992,770, FAST ,3.92
665,912, FAST ,3.9
735,754, FAST ,3.46
775,822, FAST ,1.72
759,677, FAST ,2.44
808,937, FAST ,3.83
667,1018, FAST ,2.76
1073,809, FAST ,2.3
997,848, FAST ,3.38
860,874, FAST ,2.41
814,797, FAST ,1.79
865,708, FAST ,3.56
666,730, UOL ,3.94
757,727, UOL ,3.36
1024,745, UOL ,2.02
849,889, UOL ,3.57
933,1022, UOL ,2.59
798,1040, UOL ,1.76
887,806, UOL ,3.05
728,837, UOL ,3.07
821,1019, UOL ,3.86
781,936, UOL ,3.09
852,795, UOL ,3.06
846,835, UOL ,2.4
1008,664, UOL ,3.1
699,758, UOL ,1.73
1062,838, UOL ,3.67
960,930, UOL ,2.33
743,1015, UOL ,2.2
842,1021, UOL ,2.25
1057,906, UOL ,2.8
901,714, UOL ,3.44
963,720, UOL ,2.07
1044,665, UOL ,3.1
738,836, UOL ,3.29
891,680, UOL ,3.11
1074,998, UOL ,3.57
975,1095, UOL ,2.59
946,816, UOL ,3.39
771,724, UOL ,2.99
1098,762, UOL ,3.76
672,938, UOL ,3.41
962,772, UOL ,2.34
732,929, UOL ,2.54
968,792, UOL ,2.39
1072,946, UOL ,2.72
1095,740, UOL ,1.89
965,1017, UOL ,3.85
978,1044, UOL ,2.28
1089,829, UOL ,2.13
841,759, UOL ,3.16
932,985, UOL ,2.71
871,798, UOL ,2.97
1051,1013, UOG ,3.28
971,1036, GCUF ,2.87
895,839, GCUF ,2.69
1083,834, UOG ,2.99
939,788, UOS ,3.94
999,815, UOS ,3.39
822,869, UOS ,2.78
797,997, UOL ,2.31
839,1074, NTU ,3.42
831,886, NTU ,3.86
832,1030, NTU ,3.91
1000,903, NTU ,2.46
983,686, GCU ,3.22
948,966, GCU ,2.95
857,989, UOE ,3.75
1092,817, USA ,3.66
1097,971, USA ,2.26
837,917, USA ,1.91
868,676, UOL ,3.41
1090,850, UOL ,3.52
970,1057, UOL ,1.98
1043,735, UOL ,3.75
778,741, UOL ,3.01
928,860, UOL ,2.71
664,706, UOL ,3.39
898,1028, UOL ,3.44
899,1024, UOL ,3.11
799,667, UOL ,3.56
1039,882, UOL ,1.73
890,668, UOL ,3.24
1078,958, UOL ,2.69
991,710, UOL ,2.87
745,1027, UOL ,2.78
762,695, UOL ,2.42
1001,831, UOL ,2.15
1053,670, UOL ,3.28
793,867, UOL ,2.16
957,1050, UOG ,1.73
959,888, GCUF ,2.45
1069,856, GCUF ,2.91
773,962, UOG ,3.35
1096,976, UOS ,3.25
669,914, UOS ,3.65
713,859, UOS ,2.87
749,977, UOL ,2.1
663,1099, NTU ,2.66
662,1098, NTU ,2.18
873,1071, NTU ,3.43
961,999, NTU ,2.31
851,692, GCU ,3.47
910,746, GCU ,2.07
790,799, UOE ,3.02
755,983, USA ,3.38
847,1000, USA ,3.55
931,1089, USA ,2.02
937,899, COMSATS ,2.06
701,1062, COMSATS ,2.63
1021,707, COMSATS ,2.53
913,940, COMSATS ,3.66
1023,784, COMSATS ,2.36
929,902, COMSATS ,3.65
930,808, PUCIT ,3.09
689,701, PUCIT ,2.43
815,1010, PUCIT ,2.08
1047,821, PUCIT ,3.51
754,742, PUCIT ,2.45
918,1080, PUCIT ,2.08
995,881, PUCIT ,3.39
989,892, PUCIT ,2.33
811,752, PUCIT ,2.99
783,1005, PUCIT ,3.41
1088,901, PUCIT ,2.76
716,942, PUCIT ,2.23
1014,935, PUCIT ,3.64
966,873, PUCIT ,3.48
677,713, PUCIT ,2.52
870,723, PUCIT ,3.14
915,1087, PUCIT ,3.88
863,844, PUCIT ,2.72
794,1059, PUCIT ,3.36
733,1096, FAST ,2.7
820,1078, FAST ,3.4
914,951, FAST ,3.69
985,1065, FAST ,2.94
1010,694, FAST ,2.02
684,891, FAST ,1.71
907,852, FAST ,3.61
940,767, FAST ,3.67
994,1049, FAST ,2.76
708,858, FAST ,3.29
823,755, FAST ,3.62
859,715, FAST ,2.55
924,729, FAST ,2.65
1052,690, FAST ,2.67
789,904, FAST ,2.97
926,981, FAST ,2.82
807,941, FAST ,2.05
668,743, FAST ,3.86
884,926, FAST ,2.53
848,979, FAST ,3.43
748,787, FAST ,1.94
1064,733, FAST ,1.79
802,1004, FAST ,2.82
1085,980, FAST ,2.57
1030,900, FAST ,2.35
744,789, FAST ,3.06
803,663, UOL ,3.96
996,1020, UOL ,3.77
1002,671, UOL ,3.17
1056,862, UOL ,2.48
723,681, UOL ,2.25
888,811, UOL ,3.05
795,732, UOL ,2.01
986,691, UOL ,3.51
1022,828, UOL ,2.36
1031,876, UOL ,2.66
682,688, UOL ,3.51
804,687, UOL ,1.84
877,689, UOL ,3.79
1075,883, UOL ,1.97
776,915, UOL ,2.06
990,973, UOL ,2.54
1060,666, UOL ,2.56
1048,956, UOL ,3.9
746,1016, UOL ,2.11
931,811, UOL ,2.57
791,813, UOL ,3.74
816,709, UOL ,3.55
707,736, UOL ,1.86
909,997, UOL ,3.14
959,730, UOL ,2.17
711,950, UOL ,2.2
949,908, UOL ,1.78
672,831, UOL ,2.29
840,784, UOL ,1.88
935,1003, UOL ,3.37
755,829, UOL ,1.96
738,1010, UOL ,3.32
762,676, UOL ,2.23
934,984, UOL ,3.73
996,796, UOL ,3.76
797,1004, UOL ,2
882,865, UOL ,3.61
850,903, UOL ,1.71
863,1016, UOL ,3.02
702,981, UOL ,2.12
700,1029, UOL ,3.06
859,1030, UOG ,3.81
760,1091, GCUF ,3.41
1040,949, GCUF ,2.6
784,812, UOG ,2.65
712,859, UOS ,2.8
953,672, UOS ,2.36
1094,794, UOS ,3.92
815,890, UOL ,2.34
751,1098, NTU ,3.89
709,1017, NTU ,3.47
857,1035, NTU ,2.45
676,991, NTU ,2.75
925,848, GCU ,1.85
724,928, GCU ,3.15
1014,790, UOE ,1.97
1045,1070, USA ,2.98
946,681, USA ,2.82
932,945, USA ,3.61
677,689, UOL ,3.69
1054,821, UOL ,2.01
1074,1092, UOL ,3.9
942,706, UOL ,1.95
853,826, UOL ,1.83
938,852, UOL ,3.19
683,1084, UOL ,3.6
684,962, UOL ,3.13
1044,946, UOL ,3.02
803,696, UOL ,2.06
678,700, UOL ,2.49
704,993, UOL ,2.96
995,777, UOL ,2.22
798,1087, UOL ,3.89
662,969, UOL ,3.71
836,759, UOL ,3.82
896,1062, UOL ,3.28
1042,1039, UOL ,3.66
775,734, UOL ,3.1
788,964, UOG ,2.12
1047,994, GCUF ,3.86
1034,880, GCUF ,2.85
860,951, UOG ,3.97
796,840, UOS ,3.6
837,944, UOS ,2.14
728,744, UOS ,2.51
945,720, UOL ,2.97
919,860, NTU ,3.19
703,661, NTU ,3.29
939,987, NTU ,2.96
669,725, NTU ,3.45
833,1025, GCU ,3.71
818,668, GCU ,2.96
756,955, UOE ,2.88
1033,795, USA ,2.58
924,943, USA ,2.99
881,893, USA ,2.57
990,722, LGU ,3.58
1002,719, LGU ,2.34
1097,780, LGU ,3.34
727,838, LGU ,2.31
717,1002, LGU ,3.24
858,907, LGU ,3.26
744,816, LGU ,1.84
974,929, LGU ,2.78
790,800, LGU ,3.8
991,749, LGU ,2.08
1000,871, LGU ,2.65
912,1040, LGU ,2.4
1001,959, LGU ,2.36
1032,1024, LGU ,3.17
941,843, LGU ,2.88
1023,875, LGU ,2.86
807,844, LGU ,3.67
905,1082, LGU ,2.17
1100,692, LGU ,2.6
802,988, LGU ,1.98
1041,986, LGU ,2.23
908,695, LGU ,2.48
1024,783, LGU ,2.85
926,740, LGU ,3.4
1052,704, LGU ,2.64
786,978, LGU ,3.34
922,1058, LGU ,2.3
944,878, LGU ,2.91
883,1069, LGU ,3.25
1099,685, LGU ,3.48
1089,716, LGU ,1.8
877,690, LGU ,2.71
799,717, LGU ,3.05
1091,1028, COMSATS ,3.68
854,773, COMSATS ,2.31
706,845, COMSATS ,3.85
710,927, COMSATS ,2.24
1043,967, COMSATS ,3.87
687,823, COMSATS ,2.15
867,713, COMSATS ,2.57
824,841, COMSATS ,3.97
972,881, PU ,3.16
785,791, PU ,3.48
750,918, PU ,2.57
776,762, PU ,2.62
715,1056, PU ,2.69
825,697, PU ,3.65
956,1097, PU ,2.11
664,687, PU ,3.7
793,901, PU ,1.99
748,970, PU ,3.23
1093,669, pU ,2.29
758,965, PU ,1.87
951,837, PU ,3.05
1092,771, PU ,2.49
773,896, PU ,3.52
779,801, PU ,1.89
720,782, PU ,3.75
688,1018, PU ,2.54
1005,849, PU ,2.11
845,947, PU ,3.92
792,996, PU ,3.78
666,756, PU ,1.91
876,786, PU ,3.72
1064,1046, PU ,2.93
733,923, PU ,2.62
893,753, PU ,3.6
778,977, LGU ,2.04
1077,862, COMSATS ,1.75
787,1005, COMSATS ,2.68
962,982, COMSATS ,2.48
1012,835, COMSATS ,1.85
682,781, COMSATS ,2.37
1035,1096, COMSATS ,2.42
1059,995, COMSATS ,3.77
948,680, COMSATS ,2.25
894,1057, COMSATS ,2.17
752,764, COMSATS ,2.48
975,1065, GCUF ,3.21
783,854, UOG ,2.98
895,724, UOL ,3.73
937,1020, USA ,2.8
814,922, USA ,2.12
917,1042, USA ,3.13
973,684, USA ,3.81
713,741, UET Fsd ,1.97
921,855, UET Fsd ,2.35
1068,956, UET Fsd ,1.73
911,989, UET Fsd ,2.74
1058,1001, UET Fsd ,3.11
928,1044, UET Fsd ,3.35
872,743, UET ,3.11
801,870, UET ,1.75
829,1093, COMSATS ,3.1
766,671, COMSATS ,2.91
1016,1012, COMSATS ,2.48
1025,924, COMSATS ,3.55
844,942, GCUF ,3.2
834,739, UOG ,2.36
820,766, UOL ,2.49
875,885, USA ,1.91
897,828, USA ,2.28
1062,1008, USA ,2.17
1039,752, USA ,2.01
1030,818, UET Fsd ,2.28
1010,770, UET Fsd ,3.39
817,919, UET Fsd ,3.3
823,913, UET Fsd ,2.95
843,960, UET Fsd ,3.51
958,931, UET Fsd ,4
1037,937, UET ,3.44
1031,1037, UET ,3.73
808,972, COMSATS ,1.72
1029,953, COMSATS ,2.19
855,1088, COMSATS ,2.65
1011,998, COMSATS ,2.43
1078,850, GCUF ,3.41
902,802, UOG ,3.18
933,954, UOL ,3.72
890,916, USA ,2.25
839,889, USA ,3.18
714,846, USA ,3.25
765,803, USA ,3.44
742,990, UET Fsd ,3.86
747,866, UET Fsd ,1.92
732,815, UET Fsd ,3.35
930,711, UET Fsd ,3.88
964,723, UET Fsd ,2.64
743,760, UET Fsd ,2.81
1049,701, UET ,2.93
961,804, UET ,3.2
936,975, COMSATS ,3.77
1028,867, COMSATS ,1.73
861,906, COMSATS ,3.85
1020,1099, COMSATS ,3.02
1076,932, GCUF ,2.78
869,682, UOG ,3.79
943,763, UOL ,2.49
667,915, USA ,2.81
878,887, USA ,2.78
976,793, USA ,3.33
695,805, USA ,2.78
1082,1007, UET Fsd ,2.25
809,729, UET Fsd ,3.69
913,940, UET Fsd ,2.06
901,1090, UET Fsd ,2.28
692,836, UET Fsd ,3.4
1051,660, UET Fsd ,3.04
754,1006, UET ,2.35
1070,864, UET ,2.27
1063,909, COMSATS ,3.59
1080,899, COMSATS ,1.82
993,1052, COMSATS ,2.04
889,814, COMSATS ,2.23
806,1078, GCUF ,2.52
740,679, UOG ,2.58
984,809, UOL ,2.87
852,806, USA ,3.6
661,754, USA ,3.21
1057,767, USA ,2.3
884,703, USA ,2.71
731,787, UET Fsd ,2.13
685,842, UET Fsd ,3.42
864,1019, UET Fsd ,4
722,856, UET Fsd ,3.64
862,778, UET Fsd ,2.68
810,834, UET Fsd ,3.78
671,934, UET ,2.82
969,933, UET ,2.94
708,728, COMSATS ,3.47
966,775, COMSATS ,2.66
1088,861, COMSATS ,2.42
721,904, COMSATS ,2.91
746,1064, GCUF ,2.43
885,1021, UOG ,2.69
771,1033, UOL ,2.25
967,757, USA ,2.64
1086,1061, USA ,2.45
904,857, USA ,2.56
986,912, USA ,2.42
923,979, UET Fsd ,2.68
888,686, UET Fsd ,2.77
981,673, UET Fsd ,3.48
929,1000, UET Fsd ,1.93
745,847, UET Fsd ,3.26
983,670, UET Fsd ,2.57
985,674, UET ,2.37
674,663, UET ,2.76
663,992, GCUF ,2.78
846,1034, GCUF ,3.92
800,832, UOG ,3.94
865,930, UOS ,3.21
1006,905, UOS ,2.41
1084,699, UOS ,2.47
819,710, UOL ,2.57
1060,799, NTU ,3.41
965,877, NTU ,2.83
763,879, NTU ,1.78
999,939, NTU ,1.85
847,737, GCU ,2.21
849,968, GCU ,3.95
693,758, UOE ,3.65
1079,957, USA ,2.19
804,1076, USA ,1.74
805,1009, USA ,1.82
1048,1059, UOL ,3.85
960,966, UOL ,3.77
998,746, UOL ,3.48
832,936, UOL ,2.53
